"","aircraft","dep_time","est_arr_time","flight_no","origin"
"656","A319","Sat 01:02PM","Sat 05:20PM"," AVA4","El Dorado Int'l (BOG / SKBO)"
"669","A319","Sat 01:42PM","Sat 05:07PM"," AAL1144","Rafael Nunez Int'l (CTG / SKCG)"
"675","A319","Sat 01:25PM","Sat 04:48PM"," AAL1124","Ernesto Cortissoz Int'l (BAQ / SKBQ)"
"711","B752","Sat 09:35AM","Sat 04:01PM"," AAL1558","Jorge Chavez Int'l (LIM / SPJC)"
"712","B752","Sat 09:35AM","Sat 04:01PM"," AAL1558","Jorge Chavez Int'l (LIM / SPJC)"
"714","A320","Sat 11:37AM","Sat 03:56PM"," AVA38","Alfonso Bonilla Aragon Int'l (CLO / SKCL)"
"742","B748","Sat 11:02AM","Sat 03:28PM"," GTI5421","Mariscal Sucre Int'l (UIO / SEQM)"
"769","B763","Sat 10:17AM","Sat 02:41PM"," LAE1818","El Dorado Int'l (BOG / SKBO)"
"782","A332","Sat 09:50AM","Sat 02:35PM"," TPA4032","Mariscal Sucre Int'l (UIO / SEQM)"
"789","A320","Sat 09:43AM","Sat 01:39PM"," AVA30","Jose Maria Cordova Int'l (MDE / SKRG)"
"807","B738","Sat 08:28AM","Sat 12:47PM"," AAL920","Alfonso Bonilla Aragon Int'l (CLO / SKCL)"
"815","B77L","Sat 08:00AM","Sat 12:06PM"," ETH3518","El Dorado Int'l (BOG / SKBO)"
"830","A332","Sat 07:18AM","Sat 11:31AM"," AVA6","El Dorado Int'l (BOG / SKBO)"
"848","A319","Sat 06:52AM","Sat 11:00AM"," AAL1130","El Dorado Int'l (BOG / SKBO)"
"849","B738","Sat 05:43AM","Sat 10:56AM"," AAL948","Jose Joaquin de Olmedo Int'l (GYE / SEGU)"
"860","B738","Sat 05:43AM","Sat 10:56AM"," AAL948","Jose Joaquin de Olmedo Int'l (GYE / SEGU)"
"864","A320","Sat 07:15AM","Sat 10:37AM"," AVA2","Ernesto Cortissoz Int'l (BAQ / SKBQ)"
"871","B752","Sat 05:21AM","Sat 10:07AM"," AAL932","Mariscal Sucre Int'l (UIO / SEQM)"
